n°visita,Edad,idjumper,tiempo,fecha,hora
447,4,35650,30,28-12-2018,12:40:49 p. m.
448,10,35651,30,28-12-2018,12:59:35 p. m.
449,22,35652,30,28-12-2018,12:59:35 p. m.
450,3,35578,30,28-12-2018,1:03:31 p. m.
451,23,35653,60,28-12-2018,1:29:54 p. m.
452,25,35654,60,28-12-2018,1:29:54 p. m.
453,8,35655,90,28-12-2018,1:48:53 p. m.
454,8,35656,60,28-12-2018,2:35:29 p. m.
455,25,35657,30,28-12-2018,2:37:26 p. m.
456,3,35658,60,28-12-2018,2:56:03 p. m.
457,51,35659,30,28-12-2018,3:17:43 p. m.
458,27,35660,30,28-12-2018,3:17:43 p. m.
459,11,35661,30,28-12-2018,3:30:55 p. m.
460,12,35662,30,28-12-2018,3:30:55 p. m.
461,8,35663,60,28-12-2018,3:38:22 p. m.
462,10,35664,60,28-12-2018,3:38:22 p. m.
464,7,35666,60,28-12-2018,3:45:38 p. m.
465,8,35667,60,28-12-2018,3:45:38 p. m.
466,9,35668,30,28-12-2018,3:51:15 p. m.
467,15,35669,30,28-12-2018,3:51:15 p. m.
468,2,35670,60,28-12-2018,4:13:50 p. m.
469,5,35671,60,28-12-2018,4:13:50 p. m.
470,7,35672,30,28-12-2018,4:44:54 p. m.
471,10,35673,30,28-12-2018,4:44:54 p. m.
472,11,35674,60,28-12-2018,4:59:23 p. m.
473,8,35675,60,28-12-2018,4:59:23 p. m.
474,8,35676,60,28-12-2018,4:59:23 p. m.
475,28,35677,30,28-12-2018,5:03:24 p. m.
476,12,35430,30,28-12-2018,5:08:52 p. m.
477,9,35678,60,28-12-2018,5:14:23 p. m.
478,10,35679,60,28-12-2018,5:14:23 p. m.
479,10,35680,60,28-12-2018,5:18:13 p. m.
480,5,35681,60,28-12-2018,5:18:13 p. m.
481,11,35682,60,28-12-2018,5:18:13 p. m.
482,10,35683,60,28-12-2018,5:22:52 p. m.
483,10,35684,60,28-12-2018,5:26:29 p. m.
484,9,35685,60,28-12-2018,5:26:29 p. m.
485,6,34,30,28-12-2018,5:40:28 p. m.
486,11,41,30,28-12-2018,5:40:28 p. m.
487,2,35386,30,28-12-2018,5:41:19 p. m.
488,31,35387,30,28-12-2018,5:41:19 p. m.
489,12,35686,60,28-12-2018,5:51:09 p. m.
490,9,35687,60,28-12-2018,5:51:09 p. m.
491,16,35688,60,28-12-2018,5:51:09 p. m.
492,9,35689,30,28-12-2018,5:55:19 p. m.
493,14,49,30,28-12-2018,5:58:33 p. m.
494,14,35395,30,28-12-2018,5:58:33 p. m.
495,2,35525,30,28-12-2018,6:02:03 p. m.
496,8,20,60,28-12-2018,6:03:08 p. m.
497,12,21,60,28-12-2018,6:03:08 p. m.
498,9,35690,30,28-12-2018,6:06:08 p. m.
499,7,31,30,28-12-2018,6:06:08 p. m.
500,9,35691,60,28-12-2018,6:10:20 p. m.
501,12,35430,30,28-12-2018,6:10:34 p. m.
502,5,35692,60,28-12-2018,6:29:31 p. m.
503,5,35378,60,28-12-2018,6:29:31 p. m.
504,2,35693,30,28-12-2018,6:34:05 p. m.
505,2,35694,30,28-12-2018,6:50:24 p. m.
506,8,35695,60,28-12-2018,6:50:24 p. m.
507,8,35696,60,28-12-2018,6:50:24 p. m.
508,5,35697,30,28-12-2018,6:50:24 p. m.
509,2,35698,60,28-12-2018,7:13:54 p. m.
510,4,35699,60,28-12-2018,7:13:54 p. m.
511,4,35700,30,28-12-2018,7:27:49 p. m.
512,2,35701,30,28-12-2018,7:27:49 p. m.
513,6,35702,30,28-12-2018,7:31:44 p. m.
514,9,35703,30,28-12-2018,7:31:44 p. m.
515,13,35704,30,28-12-2018,7:38:45 p. m.
516,12,35705,30,28-12-2018,7:38:45 p. m.
517,2,35706,30,28-12-2018,7:58:36 p. m.
518,8,35353,30,28-12-2018,8:02:49 p. m.
519,5,35354,30,28-12-2018,8:02:49 p. m.
520,12,35707,30,28-12-2018,8:06:02 p. m.
521,7,35708,30,28-12-2018,8:06:02 p. m.
522,10,35709,30,28-12-2018,8:10:56 p. m.
523,9,35710,30,28-12-2018,8:25:55 p. m.
524,11,35711,30,28-12-2018,8:36:12 p. m.
525,7,35712,30,28-12-2018,8:36:12 p. m.
