n°visita,Edad,idjumper,tiempo,fecha,hora
31,50,15,60,19-12-2018,12:00:00 a. m.
32,12,16,60,19-12-2018,12:00:00 a. m.
33,13,17,60,19-12-2018,12:00:00 a. m.
34,15,18,60,19-12-2018,12:00:00 a. m.
35,11,19,30,19-12-2018,12:00:00 a. m.
36,8,20,60,19-12-2018,12:00:00 a. m.
37,12,21,60,19-12-2018,12:00:00 a. m.
38,22,22,60,19-12-2018,12:00:00 a. m.
39,20,23,60,19-12-2018,12:00:00 a. m.
40,4,24,30,19-12-2018,12:00:00 a. m.
41,11,25,30,19-12-2018,12:00:00 a. m.
42,7,27,30,19-12-2018,12:00:00 a. m.
43,2,28,30,19-12-2018,12:00:00 a. m.
44,23,29,30,19-12-2018,12:00:00 a. m.
45,22,30,30,19-12-2018,12:00:00 a. m.
46,7,31,30,19-12-2018,12:00:00 a. m.
47,18,32,30,19-12-2018,12:00:00 a. m.
48,17,33,30,19-12-2018,12:00:00 a. m.
49,6,34,30,19-12-2018,12:00:00 a. m.
50,10,35,30,19-12-2018,12:00:00 a. m.
51,13,36,30,19-12-2018,12:00:00 a. m.
52,8,37,30,19-12-2018,12:00:00 a. m.
53,11,38,30,19-12-2018,12:00:00 a. m.
54,12,39,60,19-12-2018,12:00:00 a. m.
55,14,40,60,19-12-2018,12:00:00 a. m.
56,11,41,30,19-12-2018,12:00:00 a. m.
57,23,3,30,20-12-2018,12:00:00 a. m.
58,10,42,30,20-12-2018,12:00:00 a. m.
59,7,43,30,20-12-2018,12:00:00 a. m.
60,7,44,60,20-12-2018,12:00:00 a. m.
61,11,45,30,20-12-2018,12:00:00 a. m.
62,5,46,30,20-12-2018,12:00:00 a. m.
63,7,47,30,20-12-2018,12:00:00 a. m.
64,9,48,60,20-12-2018,12:00:00 a. m.
65,14,49,60,20-12-2018,12:00:00 a. m.
66,10,50,30,20-12-2018,12:00:00 a. m.
67,7,51,30,20-12-2018,12:00:00 a. m.
68,8,52,60,20-12-2018,12:00:00 a. m.
69,6,53,60,20-12-2018,12:00:00 a. m.
70,10,54,60,20-12-2018,12:00:00 a. m.
71,8,55,30,20-12-2018,12:00:00 a. m.
72,9,56,30,20-12-2018,12:00:00 a. m.
73,7,57,30,20-12-2018,12:00:00 a. m.
74,7,58,30,20-12-2018,12:00:00 a. m.
75,12,59,60,20-12-2018,12:00:00 a. m.
76,8,60,60,20-12-2018,12:00:00 a. m.
77,1,61,60,20-12-2018,12:00:00 a. m.
78,31,62,60,20-12-2018,12:00:00 a. m.
79,10,63,60,20-12-2018,12:00:00 a. m.
80,6,64,60,20-12-2018,12:00:00 a. m.
81,23,65,30,20-12-2018,12:00:00 a. m.
82,6,66,30,20-12-2018,12:00:00 a. m.
83,7,67,30,20-12-2018,12:00:00 a. m.
84,7,68,30,20-12-2018,12:00:00 a. m.
85,8,69,30,20-12-2018,12:00:00 a. m.
86,13,70,30,20-12-2018,12:00:00 a. m.
87,11,35329,30,20-12-2018,12:00:00 a. m.
88,16,35330,30,20-12-2018,12:00:00 a. m.
89,10,35331,30,20-12-2018,12:00:00 a. m.
90,8,35332,30,20-12-2018,12:00:00 a. m.
91,6,35333,30,20-12-2018,12:00:00 a. m.
92,4,35334,30,20-12-2018,12:00:00 a. m.
93,14,40,30,20-12-2018,12:00:00 a. m.
94,12,35335,30,20-12-2018,12:00:00 a. m.
95,5,35336,30,20-12-2018,12:00:00 a. m.
96,4,35337,30,21-12-2018,12:00:00 a. m.
97,2,35338,30,21-12-2018,12:00:00 a. m.
98,30,35339,30,21-12-2018,12:00:00 a. m.
99,3,35340,60,21-12-2018,12:00:00 a. m.
100,6,35341,30,21-12-2018,12:00:00 a. m.
101,5,35342,30,21-12-2018,12:00:00 a. m.
102,11,35343,30,21-12-2018,12:00:00 a. m.
103,9,35344,30,21-12-2018,12:00:00 a. m.
104,7,35345,30,21-12-2018,12:00:00 a. m.
105,12,35346,30,21-12-2018,12:00:00 a. m.
106,3,35347,30,21-12-2018,12:00:00 a. m.
107,39,35348,30,21-12-2018,12:00:00 a. m.
108,8,35349,30,21-12-2018,12:00:00 a. m.
109,2,35350,30,21-12-2018,12:00:00 a. m.
110,1,35351,30,21-12-2018,12:00:00 a. m.
111,6,35352,30,21-12-2018,12:00:00 a. m.
112,8,35353,30,21-12-2018,12:00:00 a. m.
113,5,35354,30,21-12-2018,12:00:00 a. m.
114,36,35355,30,21-12-2018,12:00:00 a. m.
115,12,35356,60,21-12-2018,12:00:00 a. m.
116,23,35357,60,21-12-2018,12:00:00 a. m.
117,13,35358,90,21-12-2018,12:00:00 a. m.
118,13,35359,90,21-12-2018,12:00:00 a. m.
119,14,35360,90,21-12-2018,12:00:00 a. m.
120,11,35361,60,21-12-2018,12:00:00 a. m.
121,8,35362,60,21-12-2018,12:00:00 a. m.
122,15,35363,30,21-12-2018,12:00:00 a. m.
123,15,35364,30,21-12-2018,12:00:00 a. m.
124,11,35365,30,21-12-2018,12:00:00 a. m.
125,11,35361,30,21-12-2018,12:00:00 a. m.
126,8,35362,30,21-12-2018,12:00:00 a. m.
127,11,35329,30,21-12-2018,12:00:00 a. m.
128,4,35366,30,21-12-2018,12:00:00 a. m.
129,9,35367,60,21-12-2018,12:00:00 a. m.
130,6,35368,60,21-12-2018,12:00:00 a. m.
131,10,35369,30,21-12-2018,12:00:00 a. m.
132,9,35370,30,21-12-2018,12:00:00 a. m.
133,20,35371,30,21-12-2018,12:00:00 a. m.
134,14,35372,30,21-12-2018,12:00:00 a. m.
135,9,35373,30,21-12-2018,12:00:00 a. m.
136,3,35374,30,21-12-2018,12:00:00 a. m.
137,10,35375,60,21-12-2018,12:00:00 a. m.
138,12,35376,60,21-12-2018,12:00:00 a. m.
139,10,35377,60,21-12-2018,12:00:00 a. m.
140,5,35378,30,21-12-2018,12:00:00 a. m.
141,10,35379,30,21-12-2018,12:00:00 a. m.
142,6,35380,30,21-12-2018,12:00:00 a. m.
143,6,35381,30,21-12-2018,12:00:00 a. m.
144,3,35382,30,21-12-2018,12:00:00 a. m.
145,31,35383,30,21-12-2018,12:00:00 a. m.
146,10,35384,30,22-12-2018,12:00:00 a. m.
147,7,35385,30,22-12-2018,12:00:00 a. m.
148,2,35386,30,22-12-2018,12:00:00 a. m.
149,31,35387,30,22-12-2018,12:00:00 a. m.
150,13,35388,30,22-12-2018,12:00:00 a. m.
151,8,35389,120,22-12-2018,12:00:00 a. m.
152,28,35390,60,22-12-2018,12:00:00 a. m.
153,27,35391,60,22-12-2018,12:00:00 a. m.
154,9,35392,30,22-12-2018,12:00:00 a. m.
155,5,35393,30,22-12-2018,12:00:00 a. m.
156,11,35394,30,22-12-2018,12:00:00 a. m.
157,14,35395,60,22-12-2018,12:00:00 a. m.
158,8,35396,60,22-12-2018,12:00:00 a. m.
159,2,35397,120,22-12-2018,12:00:00 a. m.
160,9,35398,120,22-12-2018,12:00:00 a. m.
161,9,35400,30,22-12-2018,12:00:00 a. m.
162,11,35401,30,22-12-2018,12:00:00 a. m.
163,3,35402,30,22-12-2018,12:00:00 a. m.
164,44,35403,30,22-12-2018,12:00:00 a. m.
165,43,35404,30,22-12-2018,12:00:00 a. m.
166,4,35405,30,22-12-2018,12:00:00 a. m.
167,38,35406,30,22-12-2018,12:00:00 a. m.
169,16,35330,30,22-12-2018,12:00:00 a. m.
170,16,35407,30,22-12-2018,12:00:00 a. m.
171,5,35408,30,22-12-2018,12:00:00 a. m.
172,44,35409,30,22-12-2018,12:00:00 a. m.
173,11,35410,30,22-12-2018,12:00:00 a. m.
174,9,35411,30,22-12-2018,12:00:00 a. m.
175,11,35412,30,22-12-2018,12:00:00 a. m.
176,9,35413,60,22-12-2018,12:00:00 a. m.
177,8,35414,120,22-12-2018,12:00:00 a. m.
178,9,35415,60,22-12-2018,12:00:00 a. m.
179,7,35416,30,22-12-2018,12:00:00 a. m.
180,4,35417,30,22-12-2018,12:00:00 a. m.
181,8,35418,60,22-12-2018,12:00:00 a. m.
182,6,35419,120,22-12-2018,12:00:00 a. m.
183,10,35420,120,22-12-2018,12:00:00 a. m.
184,12,35421,120,22-12-2018,12:00:00 a. m.
185,3,35422,120,22-12-2018,12:00:00 a. m.
186,29,35423,120,22-12-2018,12:00:00 a. m.
187,11,35424,60,22-12-2018,12:00:00 a. m.
188,10,35425,60,22-12-2018,12:00:00 a. m.
189,10,35426,30,22-12-2018,12:00:00 a. m.
190,9,35427,30,22-12-2018,12:00:00 a. m.
191,7,35428,30,22-12-2018,12:00:00 a. m.
192,9,35429,30,22-12-2018,12:00:00 a. m.
193,12,35430,30,22-12-2018,12:00:00 a. m.
194,2,35431,30,22-12-2018,12:00:00 a. m.
195,8,35432,30,22-12-2018,12:00:00 a. m.
196,9,35433,30,22-12-2018,12:00:00 a. m.
197,6,35434,30,22-12-2018,12:00:00 a. m.
198,7,35435,30,22-12-2018,12:00:00 a. m.
199,37,35436,30,22-12-2018,12:00:00 a. m.
200,38,35437,30,22-12-2018,12:00:00 a. m.
205,7,35442,30,22-12-2018,12:00:00 a. m.
