n°visita,Edad,idjumper,tiempo,fecha,hora
368,9,35584,60,27-12-2018,11:37:59 a. m.
369,1,35585,60,27-12-2018,11:37:59 a. m.
370,4,35586,60,27-12-2018,11:37:59 a. m.
371,12,35587,60,27-12-2018,11:45:42 a. m.
372,10,35588,60,27-12-2018,11:45:42 a. m.
373,9,35589,60,27-12-2018,11:45:42 a. m.
374,6,35590,60,27-12-2018,11:45:42 a. m.
375,8,35591,30,27-12-2018,11:55:27 a. m.
376,12,35592,30,27-12-2018,11:55:27 a. m.
377,9,35593,60,27-12-2018,11:59:18 a. m.
378,13,35594,60,27-12-2018,11:59:18 a. m.
379,14,35595,60,27-12-2018,11:59:18 a. m.
380,17,35596,30,27-12-2018,1:04:01 p. m.
381,17,35597,30,27-12-2018,1:04:01 p. m.
382,17,35598,30,27-12-2018,1:04:01 p. m.
383,17,35599,30,27-12-2018,1:04:01 p. m.
384,10,35600,30,27-12-2018,1:40:58 p. m.
385,6,35601,30,27-12-2018,1:40:58 p. m.
386,5,35602,60,27-12-2018,2:07:07 p. m.
388,3,35604,60,27-12-2018,2:10:18 p. m.
389,15,35562,30,27-12-2018,2:18:33 p. m.
390,15,35561,30,27-12-2018,2:18:33 p. m.
391,15,35605,30,27-12-2018,2:18:33 p. m.
392,11,35606,60,27-12-2018,2:53:47 p. m.
393,7,35607,60,27-12-2018,2:53:47 p. m.
394,5,35610,30,27-12-2018,3:08:57 p. m.
395,3,35611,30,27-12-2018,3:08:57 p. m.
396,17,35612,30,27-12-2018,3:10:08 p. m.
397,18,35613,30,27-12-2018,3:10:08 p. m.
398,17,35614,30,27-12-2018,3:10:08 p. m.
399,18,35615,30,27-12-2018,3:10:08 p. m.
400,6,35616,30,27-12-2018,3:15:41 p. m.
401,2,35617,30,27-12-2018,3:15:41 p. m.
402,6,35618,30,27-12-2018,3:15:41 p. m.
403,4,35619,30,27-12-2018,3:15:41 p. m.
404,15,35364,60,27-12-2018,3:40:37 p. m.
405,15,35363,60,27-12-2018,3:40:37 p. m.
406,3,35620,30,27-12-2018,4:22:18 p. m.
407,10,35621,30,27-12-2018,4:22:18 p. m.
408,6,35622,30,27-12-2018,4:22:18 p. m.
409,17,35623,30,27-12-2018,4:43:17 p. m.
410,15,35624,30,27-12-2018,4:43:17 p. m.
411,8,35625,30,27-12-2018,4:51:17 p. m.
412,9,35400,30,27-12-2018,4:51:17 p. m.
413,16,35626,60,27-12-2018,4:53:26 p. m.
414,16,35627,60,27-12-2018,4:53:26 p. m.
415,16,35628,60,27-12-2018,4:53:26 p. m.
416,16,35629,60,27-12-2018,4:53:26 p. m.
417,4,35548,30,27-12-2018,4:59:00 p. m.
418,2,35547,30,27-12-2018,4:59:00 p. m.
419,11,35630,60,27-12-2018,5:06:17 p. m.
420,7,35631,60,27-12-2018,5:06:17 p. m.
421,12,35632,30,27-12-2018,5:26:12 p. m.
422,12,35633,30,27-12-2018,5:26:12 p. m.
423,8,35634,30,27-12-2018,5:26:12 p. m.
424,45,35635,30,27-12-2018,5:26:12 p. m.
425,14,49,30,27-12-2018,6:29:41 p. m.
426,9,48,30,27-12-2018,6:29:41 p. m.
427,14,35395,30,27-12-2018,6:29:41 p. m.
428,8,35396,30,27-12-2018,6:29:41 p. m.
429,17,35636,30,27-12-2018,6:34:27 p. m.
430,17,35637,30,27-12-2018,6:34:27 p. m.
431,32,35638,30,27-12-2018,7:02:57 p. m.
432,2,35639,30,27-12-2018,7:02:57 p. m.
433,11,19,30,27-12-2018,7:30:49 p. m.
434,8,35640,30,27-12-2018,7:30:49 p. m.
435,39,35641,60,27-12-2018,7:33:56 p. m.
436,11,35642,60,27-12-2018,7:33:56 p. m.
437,12,35643,60,27-12-2018,7:43:58 p. m.
438,12,35644,60,27-12-2018,7:43:58 p. m.
439,13,35645,60,27-12-2018,7:43:58 p. m.
440,8,35646,60,27-12-2018,7:43:58 p. m.
441,5,35408,60,27-12-2018,7:48:49 p. m.
442,44,35409,60,27-12-2018,7:48:49 p. m.
443,11,35365,60,27-12-2018,7:56:24 p. m.
444,11,35647,60,27-12-2018,7:56:24 p. m.
445,9,35648,30,27-12-2018,8:11:28 p. m.
446,10,35649,30,27-12-2018,8:11:28 p. m.
