n°visita,Edad,idjumper,tiempo,fecha,hora
526,5,35713,60,29-12-2018,11:35:34 a. m.
527,2,35714,60,29-12-2018,11:35:34 a. m.
528,20,35715,60,29-12-2018,11:39:01 a. m.
529,20,35716,60,29-12-2018,11:39:01 a. m.
530,10,35717,60,29-12-2018,11:40:08 a. m.
531,2,35718,60,29-12-2018,12:03:56 p. m.
532,33,35719,30,29-12-2018,12:19:13 p. m.
533,16,35720,30,29-12-2018,12:19:13 p. m.
534,6,35721,30,29-12-2018,12:19:13 p. m.
535,6,35722,30,29-12-2018,12:19:13 p. m.
536,17,35723,30,29-12-2018,12:20:33 p. m.
537,17,35724,30,29-12-2018,12:20:33 p. m.
538,17,35725,60,29-12-2018,12:25:21 p. m.
539,6,35726,60,29-12-2018,12:25:21 p. m.
540,5,35727,60,29-12-2018,12:25:21 p. m.
541,2,35728,60,29-12-2018,12:25:21 p. m.
542,41,35729,60,29-12-2018,12:25:21 p. m.
545,9,35731,30,29-12-2018,12:48:29 p. m.
546,7,35732,30,29-12-2018,12:48:29 p. m.
547,10,35733,30,29-12-2018,12:52:39 p. m.
548,13,35734,30,29-12-2018,12:52:39 p. m.
549,7,35735,30,29-12-2018,12:54:50 p. m.
550,5,35736,30,29-12-2018,12:54:50 p. m.
551,2,35737,30,29-12-2018,12:54:50 p. m.
552,6,35738,30,29-12-2018,12:58:59 p. m.
553,3,35739,30,29-12-2018,1:13:25 p. m.
554,2,35740,60,29-12-2018,1:24:22 p. m.
555,10,35741,60,29-12-2018,1:24:22 p. m.
556,12,35742,60,29-12-2018,1:24:22 p. m.
557,5,35743,30,29-12-2018,1:32:08 p. m.
558,10,35744,60,29-12-2018,1:48:25 p. m.
559,4,35745,60,29-12-2018,1:48:25 p. m.
560,6,35746,30,29-12-2018,1:52:43 p. m.
561,4,35747,30,29-12-2018,1:52:43 p. m.
562,3,35748,60,29-12-2018,2:08:16 p. m.
563,3,35749,60,29-12-2018,2:08:16 p. m.
564,3,35750,30,29-12-2018,2:11:54 p. m.
565,7,35751,30,29-12-2018,2:11:54 p. m.
566,3,35752,30,29-12-2018,2:15:07 p. m.
568,6,35754,60,29-12-2018,2:18:07 p. m.
571,3,35470,60,29-12-2018,2:22:25 p. m.
572,36,35471,30,29-12-2018,2:22:25 p. m.
573,1,35755,30,29-12-2018,2:22:25 p. m.
574,34,35756,30,29-12-2018,2:25:48 p. m.
575,10,35757,30,29-12-2018,2:25:48 p. m.
576,3,35758,30,29-12-2018,2:28:17 p. m.
579,3,35761,60,29-12-2018,2:33:52 p. m.
580,12,35762,30,29-12-2018,2:35:42 p. m.
581,2,35763,30,29-12-2018,2:35:42 p. m.
582,3,35764,30,29-12-2018,2:39:05 p. m.
583,38,35765,30,29-12-2018,2:41:56 p. m.
584,11,35766,60,29-12-2018,2:45:58 p. m.
585,9,35767,60,29-12-2018,2:45:58 p. m.
586,1,35768,30,29-12-2018,2:47:58 p. m.
587,6,35769,30,29-12-2018,2:47:58 p. m.
588,32,35770,30,29-12-2018,2:47:58 p. m.
589,7,35751,30,29-12-2018,2:51:50 p. m.
590,3,35750,30,29-12-2018,2:51:50 p. m.
591,6,35771,30,29-12-2018,2:54:21 p. m.
592,6,35772,30,29-12-2018,2:54:21 p. m.
593,5,35773,30,29-12-2018,2:56:31 p. m.
594,3,35774,30,29-12-2018,2:56:31 p. m.
595,24,35775,60,29-12-2018,3:00:12 p. m.
596,28,35776,60,29-12-2018,3:00:12 p. m.
597,3,35777,30,29-12-2018,3:10:15 p. m.
598,5,35778,30,29-12-2018,3:15:12 p. m.
599,4,35779,30,29-12-2018,3:19:31 p. m.
600,7,35780,30,29-12-2018,3:19:31 p. m.
601,6,35781,30,29-12-2018,3:20:16 p. m.
602,3,35782,30,29-12-2018,3:20:16 p. m.
603,2,35783,30,29-12-2018,3:26:13 p. m.
604,6,35784,60,29-12-2018,3:26:31 p. m.
605,8,35785,60,29-12-2018,3:26:31 p. m.
606,9,35786,60,29-12-2018,3:26:31 p. m.
607,6,35787,30,29-12-2018,3:29:47 p. m.
608,4,35788,30,29-12-2018,3:30:12 p. m.
609,9,35789,30,29-12-2018,3:32:38 p. m.
610,5,24723,60,29-12-2018,3:43:02 p. m.
611,5,35790,60,29-12-2018,3:47:39 p. m.
612,10,35791,30,29-12-2018,3:54:40 p. m.
613,11,35792,30,29-12-2018,3:54:40 p. m.
614,8,35793,60,29-12-2018,4:00:22 p. m.
615,6,35794,60,29-12-2018,4:00:22 p. m.
616,4,35795,60,29-12-2018,4:00:22 p. m.
617,2,35796,60,29-12-2018,4:00:22 p. m.
618,12,35797,60,29-12-2018,4:12:39 p. m.
619,35,35798,60,29-12-2018,4:12:39 p. m.
620,34,35799,60,29-12-2018,4:13:36 p. m.
621,3,35800,60,29-12-2018,4:13:36 p. m.
622,4,35801,30,29-12-2018,4:26:43 p. m.
623,3,35802,30,29-12-2018,4:27:09 p. m.
624,9,35803,30,29-12-2018,4:29:35 p. m.
625,46,35804,30,29-12-2018,4:29:35 p. m.
626,3,35805,30,29-12-2018,4:31:59 p. m.
627,34,35806,30,29-12-2018,4:31:59 p. m.
628,38,35807,30,29-12-2018,4:31:59 p. m.
629,6,35808,30,29-12-2018,4:36:17 p. m.
630,6,35809,30,29-12-2018,4:38:34 p. m.
631,6,35810,30,29-12-2018,4:44:55 p. m.
