n°visita,Edad,idjumper,tiempo,fecha,hora
758,3,35739,60,30-12-2018,11:35:56 a. m.
759,36,35913,60,30-12-2018,11:35:56 a. m.
760,13,35734,60,30-12-2018,11:41:37 a. m.
761,12,35914,60,30-12-2018,11:41:37 a. m.
762,9,35915,30,30-12-2018,11:44:48 a. m.
763,6,35916,30,30-12-2018,11:44:48 a. m.
764,4,35917,30,30-12-2018,11:44:48 a. m.
765,132,35918,60,30-12-2018,12:12:13 p. m.
766,12,35920,30,30-12-2018,12:16:26 p. m.
767,17,35921,30,30-12-2018,12:16:26 p. m.
768,13,35922,30,30-12-2018,12:16:26 p. m.
769,10,35919,60,30-12-2018,12:19:07 p. m.
770,12,35923,60,30-12-2018,12:19:07 p. m.
771,11,35924,30,30-12-2018,12:21:46 p. m.
772,8,35925,30,30-12-2018,12:21:46 p. m.
773,6,35926,30,30-12-2018,12:25:36 p. m.
774,3,35927,30,30-12-2018,12:25:36 p. m.
775,13,35928,30,30-12-2018,12:30:30 p. m.
776,10,35929,30,30-12-2018,12:30:30 p. m.
777,10,35930,30,30-12-2018,12:30:30 p. m.
778,7,35931,30,30-12-2018,12:30:51 p. m.
779,6,35932,30,30-12-2018,1:00:53 p. m.
780,3,35933,30,30-12-2018,1:00:53 p. m.
781,2,35934,30,30-12-2018,1:33:29 p. m.
782,4,35747,60,30-12-2018,1:41:05 p. m.
783,6,35746,60,30-12-2018,1:41:05 p. m.
784,3,35935,30,30-12-2018,1:50:16 p. m.
785,5,35936,30,30-12-2018,1:54:31 p. m.
786,3,35937,30,30-12-2018,2:12:13 p. m.
787,8,35938,60,30-12-2018,2:56:58 p. m.
788,6,35939,60,30-12-2018,3:01:16 p. m.
789,12,35940,60,30-12-2018,3:01:16 p. m.
790,13,35941,30,30-12-2018,3:01:47 p. m.
791,31,35942,60,30-12-2018,3:04:01 p. m.
792,1,35943,30,30-12-2018,3:08:15 p. m.
793,10,35944,30,30-12-2018,3:12:41 p. m.
794,6,35945,30,30-12-2018,3:17:04 p. m.
795,11,35946,30,30-12-2018,3:17:04 p. m.
796,15,35947,30,30-12-2018,3:17:04 p. m.
797,12,35948,30,30-12-2018,3:22:24 p. m.
798,9,35949,30,30-12-2018,3:22:48 p. m.
799,4,35950,30,30-12-2018,3:22:48 p. m.
800,11,35951,60,30-12-2018,3:26:20 p. m.
801,9,35952,60,30-12-2018,3:26:45 p. m.
802,4,35953,60,30-12-2018,3:26:45 p. m.
803,4,35954,60,30-12-2018,3:26:45 p. m.
804,16,35955,30,30-12-2018,3:50:18 p. m.
805,16,35956,30,30-12-2018,3:50:18 p. m.
806,9,35957,30,30-12-2018,3:52:34 p. m.
807,7,35958,30,30-12-2018,3:52:34 p. m.
808,13,35959,30,30-12-2018,3:55:45 p. m.
809,5,35960,30,30-12-2018,3:55:45 p. m.
810,5,35961,60,30-12-2018,4:02:11 p. m.
811,22,35962,30,30-12-2018,4:19:27 p. m.
812,7,35963,30,30-12-2018,4:19:27 p. m.
813,8,35964,30,30-12-2018,4:22:03 p. m.
814,6,35965,30,30-12-2018,4:22:03 p. m.
815,4,35966,30,30-12-2018,4:22:03 p. m.
816,10,35967,30,30-12-2018,4:28:15 p. m.
817,11,35968,30,30-12-2018,4:34:04 p. m.
818,9,35969,30,30-12-2018,4:34:04 p. m.
819,18,35970,90,30-12-2018,4:54:15 p. m.
820,18,35971,90,30-12-2018,4:54:15 p. m.
821,11,35972,60,30-12-2018,5:05:13 p. m.
822,8,35973,60,30-12-2018,5:05:13 p. m.
823,3,35802,30,30-12-2018,5:09:23 p. m.
824,9,35974,30,30-12-2018,5:09:23 p. m.
825,14,35975,30,30-12-2018,5:09:23 p. m.
826,7,35976,60,30-12-2018,5:13:26 p. m.
827,4,35977,30,30-12-2018,5:18:31 p. m.
828,12,35978,30,30-12-2018,5:18:31 p. m.
829,38,35979,30,30-12-2018,5:18:31 p. m.
830,38,35980,30,30-12-2018,5:18:31 p. m.
831,42,35981,30,30-12-2018,5:18:31 p. m.
832,11,35982,60,30-12-2018,5:19:18 p. m.
833,4,35801,60,30-12-2018,5:21:47 p. m.
834,8,35983,30,30-12-2018,5:24:42 p. m.
835,7,35984,60,30-12-2018,5:25:16 p. m.
838,10,35985,60,30-12-2018,5:29:17 p. m.
839,17,35986,60,30-12-2018,5:29:17 p. m.
840,3,35987,30,30-12-2018,5:32:51 p. m.
841,7,35988,60,30-12-2018,5:33:34 p. m.
842,3,35989,30,30-12-2018,5:36:16 p. m.
845,2,22005,30,30-12-2018,5:38:43 p. m.
846,24,35990,60,30-12-2018,5:39:13 p. m.
847,30,35991,30,30-12-2018,5:39:13 p. m.
848,51,35992,30,30-12-2018,5:43:44 p. m.
849,15,35993,60,30-12-2018,5:43:44 p. m.
854,9,35994,90,30-12-2018,5:45:08 p. m.
855,8,35995,90,30-12-2018,5:45:08 p. m.
856,8,35996,90,30-12-2018,5:45:08 p. m.
857,13,35997,90,30-12-2018,5:45:08 p. m.
858,5,35998,60,30-12-2018,5:50:01 p. m.
859,1,35999,30,30-12-2018,5:50:01 p. m.
860,6,35781,30,30-12-2018,5:50:31 p. m.
861,3,35782,30,30-12-2018,5:50:31 p. m.
862,2,36000,30,30-12-2018,5:52:35 p. m.
863,6,36001,60,30-12-2018,5:54:49 p. m.
864,4,36002,60,30-12-2018,5:54:49 p. m.
865,5,36003,60,30-12-2018,5:55:27 p. m.
866,8,36004,30,30-12-2018,5:58:23 p. m.
867,10,36005,30,30-12-2018,5:58:23 p. m.
868,4,36006,30,30-12-2018,5:58:23 p. m.
869,12,36007,30,30-12-2018,5:59:23 p. m.
870,9,36008,30,30-12-2018,5:59:23 p. m.
871,46,36009,30,30-12-2018,6:00:36 p. m.
872,2,35547,30,30-12-2018,6:02:16 p. m.
873,4,35548,30,30-12-2018,6:02:16 p. m.
874,12,36010,60,30-12-2018,6:05:09 p. m.
875,10,36011,60,30-12-2018,6:05:09 p. m.
876,11,36012,60,30-12-2018,6:05:26 p. m.
877,7,36013,60,30-12-2018,6:05:26 p. m.
878,2,35493,60,30-12-2018,6:08:06 p. m.
879,36,35494,60,30-12-2018,6:08:06 p. m.
880,8,36014,60,30-12-2018,6:09:49 p. m.
881,3,36015,30,30-12-2018,6:10:51 p. m.
882,8,36016,30,30-12-2018,6:20:16 p. m.
883,11,36017,30,30-12-2018,6:23:03 p. m.
884,5,36018,30,30-12-2018,6:23:03 p. m.
885,7,36019,30,30-12-2018,6:23:03 p. m.
886,6,35810,30,30-12-2018,6:25:30 p. m.
887,6,35811,30,30-12-2018,6:28:22 p. m.
888,8,36020,30,30-12-2018,6:28:22 p. m.
889,9,36021,60,30-12-2018,6:29:17 p. m.
890,7,36022,60,30-12-2018,6:29:17 p. m.
891,4,36023,30,30-12-2018,6:38:28 p. m.
898,5,36030,30,30-12-2018,6:51:49 p. m.
899,3,36015,30,30-12-2018,6:53:50 p. m.
902,12,36033,30,30-12-2018,7:07:42 p. m.
903,9,36034,30,30-12-2018,7:07:42 p. m.
904,13,36035,30,30-12-2018,7:07:59 p. m.
905,13,36036,30,30-12-2018,7:07:59 p. m.
